drugName,rating,condition,class
NovoLog Mix 70 / 30,10.0,Diabetes Type 2,A
Novolin 70 / 30,10.0,Diabetes Type 2,A
Novolin N,10.0,Diabetes Type 2,A
Synjardy,10.0,Diabetes Type 2,A
Tanzeum,10.0,Diabetes Type 2,A
Glucotrol,9.666666666666666,Diabetes Type 2,A
Insulin lispro,9.666666666666666,Diabetes Type 2,A
NovoLog FlexPen,9.666666666666666,Diabetes Type 2,A
Symlin,9.666666666666666,Diabetes Type 2,A
Toujeo,9.666666666666666,Diabetes Type 2,A
Levemir,9.6,Diabetes Type 2,A
Humalog,9.5,Diabetes Type 2,A
Insulin glulisine,9.5,Diabetes Type 2,A
Onglyza,9.5,Diabetes Type 2,A
Insulin detemir,9.461538461538462,Diabetes Type 2,A
Pioglitazone,9.454545454545455,Diabetes Type 2,A
Actos,9.4,Diabetes Type 2,A
Byetta,9.313725490196079,Diabetes Type 2,A
Chromium picolinate,9.3,Diabetes Type 2,A
Xigduo XR,9.25,Diabetes Type 2,A
Januvia,9.214285714285714,Diabetes Type 2,A
Kombiglyze XR,9.2,Diabetes Type 2,A
Prandin,9.2,Diabetes Type 2,A
Glipizide,9.19047619047619,Diabetes Type 2,A
Janumet,9.176470588235293,Diabetes Type 2,A
Repaglinide,9.142857142857142,Diabetes Type 2,A
Saxagliptin,9.142857142857142,Diabetes Type 2,A
Canagliflozin,9.13888888888889,Diabetes Type 2,A
Sitagliptin,9.129032258064516,Diabetes Type 2,A
Invokana,9.122641509433961,Diabetes Type 2,A
Victoza,9.122562674094707,Diabetes Type 2,A
Linagliptin,9.11111111111111,Diabetes Type 2,A
Insulin degludec,9.055555555555555,Diabetes Type 2,A
Tresiba,9.055555555555555,Diabetes Type 2,A
Exenatide,9.017543859649123,Diabetes Type 2,A
Avandamet,9.0,Diabetes Type 2,B
Avandia,9.0,Diabetes Type 2,B
Farxiga,9.0,Diabetes Type 2,B
Jentadueto,9.0,Diabetes Type 2,B
Rosiglitazone,9.0,Diabetes Type 2,B
Toujeo Solostar,9.0,Diabetes Type 2,B
Tradjenta,9.0,Diabetes Type 2,B
Empagliflozin,8.96774193548387,Diabetes Type 2,B
Dapagliflozin,8.956521739130435,Diabetes Type 2,B
Jardiance,8.933333333333334,Diabetes Type 2,B
Trulicity,8.91891891891892,Diabetes Type 2,B
Lantus Solostar,8.9,Diabetes Type 2,B
Dulaglutide,8.878205128205128,Diabetes Type 2,B
Bydureon,8.862068965517242,Diabetes Type 2,B
Glimepiride,8.862068965517242,Diabetes Type 2,B
Empagliflozin / linagliptin,8.857142857142858,Diabetes Type 2,B
Glyxambi,8.857142857142858,Diabetes Type 2,B
Glyburide,8.8,Diabetes Type 2,B
ActoPlus Met,8.75,Diabetes Type 2,B
Amaryl,8.538461538461538,Diabetes Type 2,B
Glucophage XR,8.5,Diabetes Type 2,B
Acarbose,8.0,Diabetes Type 2,C
Glucovance,8.0,Diabetes Type 2,C
Insulin aspart / insulin degludec,8.0,Diabetes Type 2,C
Novolog,8.0,Diabetes Type 2,C
Alogliptin,7.0,Diabetes Type 2,C
Nesina,7.0,Diabetes Type 2,C
Iluvien,10.0,Diabetic Macular Edema,A
Aflibercept,9.0,Diabetic Macular Edema,B
Mexiletine,9.0,Diabetic Peripheral Neuropathy,B
Lymphoseek,10.0,Diagnosis and Investigation,A
Tilmanocept,10.0,Diagnosis and Investigation,A
Arginine,9.4,Diagnosis and Investigation,A
Regadenoson,8.833333333333334,Diagnosis and Investigation,B
Lexiscan,8.6,Diagnosis and Investigation,B
Methacholine,7.0,Diagnosis and Investigation,C
Provocholine,7.0,Diagnosis and Investigation,C
Calmoseptine,10.0,Diaper Rash,A
Menthol / zinc oxide,10.0,Diaper Rash,A
Miconazole / zinc oxide,10.0,Diaper Rash,A
Triple Paste,10.0,Diaper Rash,A
Vusion,10.0,Diaper Rash,A
Zinc oxide,9.6,Diaper Rash,A
Anti-Diarrheal,10.0,Diarrhea,A
Attapulgite,10.0,Diarrhea,A
Imodium A-D,10.0,Diarrhea,A
Lonox,10.0,Diarrhea,A
Florastor,9.75,Diarrhea,A
Alosetron,9.65,Diarrhea,A
Bismuth subsalicylate,9.636363636363637,Diarrhea,A
Pepto-Bismol,9.6,Diarrhea,A
Opium Deodorized,9.5,Diarrhea,A
Paregoric,9.5,Diarrhea,A
Atropine / diphenoxylate,9.382352941176471,Diarrhea,A
Opium,9.357142857142858,Diarrhea,A
Lomotil,9.272727272727273,Diarrhea,A
Raspberry,9.0,Diarrhea,B
Saccharomyces boulardii lyo,8.833333333333334,Diarrhea,B
Imotil,8.0,Diarrhea,C
Atropine / difenoxin,10.0,Diarrhea Chronic,A
Motofen,10.0,Diarrhea Chronic,A
Loperamide,9.75,Diarrhea Chronic,A
Imodium,9.666666666666666,Diarrhea Chronic,A
Colesevelam,9.4,Diarrhea Chronic,A
Welchol,9.28,Diarrhea Chronic,A
Paromomycin,10.0,Dientamoeba fragilis,A
Psyllium,9.818181818181818,Dietary Fiber Supplementation,A
Ascorbic acid,10.0,Dietary Supplementation,A
Cerefolin NAC,10.0,Dietary Supplementation,A
CoQ10,10.0,Dietary Supplementation,A
Glutamine,10.0,Dietary Supplementation,A
L-Methylfolate Calcium,10.0,Dietary Supplementation,A
Liquid Co-Q10,10.0,Dietary Supplementation,A
Magnesium gluconate,10.0,Dietary Supplementation,A
Vitamin C,10.0,Dietary Supplementation,A
Ubiquinone,9.857142857142858,Dietary Supplementation,A
Lovaza,9.5,Dietary Supplementation,A
Vitamin e,9.5,Dietary Supplementation,A
Multivitamin,9.461538461538462,Dietary Supplementation,A
Chondroitin / glucosamine,9.4,Dietary Supplementation,A
Biotin,9.25,Dietary Supplementation,A
Amino acids,9.0,Dietary Supplementation,B
Coenzyme Q10,9.0,Dietary Supplementation,B
Diosmiplex,9.0,Dietary Supplementation,B
Vasculera,9.0,Dietary Supplementation,B
Bifidobacterium infantis / lactobacillus acidophilus,8.333333333333334,Dietary Supplementation,B
Dehydroepiandrosterone,8.0,Dietary Supplementation,C
Phillips Colon Health,8.0,Dietary Supplementation,C
Magnesium aspartate,7.0,Dietary Supplementation,C
Zinc gluconate,7.0,Dietary Supplementation,C
Bactrim DS,8.864197530864198,Diverticulitis,B
Lifitegrast,9.052631578947368,Dry Eye Disease,A
Xiidra,9.027027027027026,Dry Eye Disease,A
AmLactin,10.0,Dry Skin,A
Corn Huskers Lotion,10.0,Dry Skin,A
Dexpanthenol,10.0,Dry Skin,A
Kerafoam,10.0,Dry Skin,A
Lac-Hydrin,10.0,Dry Skin,A
Lactic acid,10.0,Dry Skin,A
Lanolin,10.0,Dry Skin,A
Ammonium lactate,9.857142857142858,Dry Skin,A
Biafine,9.857142857142858,Dry Skin,A
X-Viate,9.6,Dry Skin,A
EpiCeram,9.454545454545455,Dry Skin,A
Emollients,9.36,Dry Skin,A
Nutraplus,9.0,Dry Skin,B
Bag Balm,8.0,Dry Skin,C
Aveeno,7.0,Dry Skin,C
Collagenase clostridium histolyticum,10.0,Dupuytrens contracture,A
Xiaflex,10.0,Dupuytrens contracture,A
Ospemifene,8.857142857142858,Dyspareunia,B
Osphena,8.857142857142858,Dyspareunia,B
Botulinum toxin type b,9.0,Dystonia,B
Myobloc,9.0,Dystonia,B
Urispas,10.0,Dysuria,A
Uricalm,9.916666666666666,Dysuria,A
Flavoxate,9.666666666666666,Dysuria,A
Acetic acid / antipyrine / benzocaine / polycosanol,10.0,Ear Wax Impaction,A
Carbamide peroxide,10.0,Ear Wax Impaction,A
Debrox,10.0,Ear Wax Impaction,A
Cortizone-10,10.0,Eczema,A
Desonate,10.0,Eczema,A
Dexpak Taperpak,10.0,Eczema,A
Halog-E,10.0,Eczema,A
Westcort,10.0,Eczema,A
Elocon,9.777777777777779,Eczema,A
Verdeso,9.666666666666666,Eczema,A
Topicort,9.6,Eczema,A
Mometasone,9.567901234567902,Eczema,A
Desoximetasone,9.5625,Eczema,A
Dermatop,9.5,Eczema,A
Dupilumab,9.5,Eczema,A
Prednicarbate,9.5,Eczema,A
Dupixent,9.470588235294118,Eczema,A
Desonide,9.387096774193548,Eczema,A
Halcinonide,9.333333333333334,Eczema,A
Ultravate,9.333333333333334,Eczema,A
Elidel,9.285714285714286,Eczema,A
Halobetasol,9.222222222222221,Eczema,A
Pimecrolimus,9.208333333333334,Eczema,A
Locoid Lipocream,9.2,Eczema,A
Halog,9.0,Eczema,B
Psorcon E,9.0,Eczema,B
Chlorothiazide,10.0,Edema,A
Demadex,10.0,Edema,A
Torsemide,10.0,Edema,A
Hydrochlorothiazide / spironolactone,9.5,Edema,A
Metolazone,9.5,Edema,A
Zaroxolyn,9.5,Edema,A
Bumetanide,9.0,Edema,B
Lasix,8.947368421052632,Edema,B
Furosemide,8.875,Edema,B
Diamox Sequels,8.75,Edema,B
Bumex,8.5,Edema,B
Dyrenium,8.0,Edema,C
Edecrin,8.0,Edema,C
Triamterene,7.6,Edema,C
EContra EZ,10.0,Emergency Contraception,A
Opcicon One-Step,10.0,Emergency Contraception,A
Plan B,9.637747336377473,Emergency Contraception,A
Plan B One-Step,9.61269146608315,Emergency Contraception,A
Aftera,9.571428571428571,Emergency Contraception,A
Take Action,9.5,Emergency Contraception,A
My Way,9.333333333333334,Emergency Contraception,A
Next Choice,9.27027027027027,Emergency Contraception,A
Ulipristal,9.26,Emergency Contraception,A
ella,9.229166666666666,Emergency Contraception,A
Fallback Solo,8.0,Emergency Contraception,C
Danocrine,9.5,Endometriosis,A
Aygestin,9.0,Endometriosis,B
Seasonale,8.928571428571429,Endometriosis,B
Previfem,8.636363636363637,Endometriosis,B
Nafarelin,8.5,Endometriosis,B
Synarel,8.5,Endometriosis,B
Mebaral,9.75,Epilepsy,A
Mephobarbital,9.75,Epilepsy,A
Felbatol,9.4,Epilepsy,A
Carbatrol,9.375,Epilepsy,A
Felbamate,9.25,Epilepsy,A
Perampanel,8.909090909090908,Epilepsy,B
Damiana,10.0,Erectile Dysfunction,A
Viagra,9.475806451612904,Erectile Dysfunction,A
Tadalafil,9.468023255813954,Erectile Dysfunction,A
Cialis,9.466666666666667,Erectile Dysfunction,A
Sildenafil,9.377777777777778,Erectile Dysfunction,A
Caverject Impulse,9.333333333333334,Erectile Dysfunction,A
Caverject,9.25,Erectile Dysfunction,A
Edex,9.227272727272727,Erectile Dysfunction,A
Stendra,9.2,Erectile Dysfunction,A
Alprostadil,9.186440677966102,Erectile Dysfunction,A
Muse,9.090909090909092,Erectile Dysfunction,A
Vardenafil,9.077669902912621,Erectile Dysfunction,A
Levitra,9.076923076923077,Erectile Dysfunction,A
Staxyn,9.045454545454545,Erectile Dysfunction,A
Avanafil,9.0,Erectile Dysfunction,B
Rabeprazole,9.659090909090908,Erosive Esophagitis,A
Conivaptan,9.0,Euvolemic Hyponatremia,B
Vaprisol,9.0,Euvolemic Hyponatremia,B
Mucomyst,10.0,Expectoration,A
Acetylcysteine,9.6,Expectoration,A
Benztropine,9.444444444444445,Extrapyramidal Reaction,A
Cogentin,9.25,Extrapyramidal Reaction,A
Hypotears,10.0,Eye Redness,A
Prefrin,10.0,Eye Redness,A
Refresh PM,10.0,Eye Redness,A
Systane,10.0,Eye Redness,A
Tetrahydrozoline,10.0,Eye Redness,A
Visine Original,10.0,Eye Redness,A
Systane Balance,9.666666666666666,Eye Redness,A
FreshKote,9.625,Eye Redness,A
GenTeal,9.5,Eye Redness,A
TheraTears,9.5,Eye Redness,A
Ocular lubricant,9.32258064516129,Eye Redness,A
Lacrisert,8.833333333333334,Eye Redness,B
Tears Again,8.5,Eye Redness,B
Systane Ultra,8.0,Eye Redness,C
Fluorometholone,7.5,Eye Redness,C
FML Forte Liquifilm,7.0,Eye Redness,C
Tetrahydrozoline / zinc sulfate,9.5,Eye Redness/Itching,A
Visine Totality Multi-Symptom Relief,9.5,Eye Redness/Itching,A
Naphazoline / pheniramine,9.1,Eye Redness/Itching,A
Visine-A,9.0,Eye Redness/Itching,B
Opcon-A,8.833333333333334,Eye Redness/Itching,B
Latisse,10.0,Eyelash Hypotrichosis,A
Axid,10.0,GERD,A
Axid AR,10.0,GERD,A
Calcium carbonate / simethicone,10.0,GERD,A
Mylanta,10.0,GERD,A
Nexium 24HR,10.0,GERD,A
Pepcid AC Chewable Tablets,10.0,GERD,A
Protonix IV,9.75,GERD,A
Aciphex,9.675,GERD,A
Aluminum hydroxide / magnesium trisilicate,9.666666666666666,GERD,A
Nizatidine,9.666666666666666,GERD,A
Prevacid,9.555555555555555,GERD,A
Protonix,9.527777777777779,GERD,A
Lansoprazole,9.470588235294118,GERD,A
Pantoprazole,9.383561643835616,GERD,A
Kapidex,9.380952380952381,GERD,A
Prilosec OTC,9.333333333333334,GERD,A
Zantac,9.25,GERD,A
Zantac 150,9.222222222222221,GERD,A
Dexilant,9.219178082191782,GERD,A
Ranitidine,9.140845070422536,GERD,A
Prilosec,9.090909090909092,GERD,A
Famotidine,9.0,GERD,B
Gelusil,9.0,GERD,B
Zegerid OTC,9.0,GERD,B
Pepcid,8.25,GERD,B
Nexium IV,8.0,GERD,C
Prevacid OTC,8.0,GERD,C
Bismuth subgallate,10.0,Gas,A
Citric acid / simethicone / sodium bicarbonate,10.0,Gas,A
Devrom,10.0,Gas,A
Di-Gel,10.0,Gas,A
E-Z-Gas II,10.0,Gas,A
Gas-X,9.833333333333334,Gas,A
Aluminum hydroxide / magnesium hydroxide / simethicone,9.5,Gas,A
Simethicone,9.428571428571429,Gas,A
PEG-3350 with Electolytes,10.0,Gastrointestinal Decontamination,A
Gleevec,9.423076923076923,Gastrointestinal Stromal Tum,A
Reglan,9.326923076923077,Gastroparesis,A
Metoclopramide,9.25,Gastroparesis,A
Cerezyme,9.0,Gaucher Disease,B
Imiglucerase,9.0,Gaucher Disease,B
Paxil CR,9.090909090909092,Generalized Anxiety Disorde,A
Effexor XR,9.055401662049862,Generalized Anxiety Disorde,A
Quetiapine,8.951612903225806,Generalized Anxiety Disorde,B
Lyrica,8.946629213483146,Generalized Anxiety Disorde,B
Venlafaxine,8.92654028436019,Generalized Anxiety Disorde,B
Seroquel,8.895470383275262,Generalized Anxiety Disorde,B
Xgeva,10.0,Giant Cell Tumor of Bone,A
Periogard,10.0,Gingivitis,A
Chlorhexidine,9.571428571428571,Gingivitis,A
Peridex,9.0,Gingivitis,B
Brimonidine / timolol,9.0,Glaucoma,B
Combigan,9.0,Glaucoma,B
Alphagan P,10.0,Glaucoma Open Angle,A
Istalol,10.0,Glaucoma Open Angle,A
Travoprost,10.0,Glaucoma Open Angle,A
Brimonidine / brinzolamide,9.666666666666666,Glaucoma Open Angle,A
Simbrinza,9.666666666666666,Glaucoma Open Angle,A
Tafluprost,9.5,Glaucoma Open Angle,A
Xalatan,9.5,Glaucoma Open Angle,A
Bimatoprost,9.333333333333334,Glaucoma Open Angle,A
Dorzolamide,9.0,Glaucoma Open Angle,B
Lumigan,9.0,Glaucoma Open Angle,B
Latanoprost,8.88888888888889,Glaucoma Open Angle,B
Timolol,8.75,Glaucoma Open Angle,B
Trusopt,8.5,Glaucoma Open Angle,B
Cosopt,8.0,Glaucoma Open Angle,C
Dorzolamide / timolol,7.666666666666667,Glaucoma Open Angle,C
Cosopt PF,7.0,Glaucoma Open Angle,C
Timoptic Ocudose,7.0,Glaucoma Open Angle,C
Zioptan,9.5,Glaucoma/Intraocular Hypertension,A
Temozolomide,9.285714285714286,Glioblastoma Multi,A
Temodar,9.2,Glioblastoma Multiforme,A
Benemid,10.0,Gout,A
Lesinurad,10.0,Gout,A
Zurampic,10.0,Gout,A
Krystexxa,9.75,Gout,A
Pegloticase,9.75,Gout,A
Probenecid,9.666666666666666,Gout,A
Aloprim,9.5,Gout,A
Febuxostat,9.366666666666667,Gout,A
Uloric,9.346153846153847,Gout,A
Allopurinol,9.078947368421053,Gout,A
Zyloprim,9.0,Gout,B
Advil Liqui-Gels,9.375,Gout Acute,A
Indocin,9.263157894736842,Gout Acute,A
Colcrys,9.222222222222221,Gout Acute,A
Colchicine,9.195652173913043,Gout Acute,A
Indomethacin,9.1,Gout Acute,A
Fenoprofen,8.5,Gout Acute,B
Nalfon,8.0,Gout Acute,C
Colchicine / probenecid,10.0,Gouty Arthritis,A
Probenecid and Colchicine,10.0,Gouty Arthritis,A
Aristocort,9.666666666666666,Gouty Arthritis,A
Sulfinpyrazone,9.0,Gouty Arthritis,B
Abacavir / lamivudine,10.0,HIV Infection,A
Atazanavir,10.0,HIV Infection,A
Cobicistat / darunavir,10.0,HIV Infection,A
Combivir,10.0,HIV Infection,A
Emtricitabine / rilpivirine / tenofovir alafenamide,10.0,HIV Infection,A
Enfuvirtide,10.0,HIV Infection,A
Epivir,10.0,HIV Infection,A
Epzicom,10.0,HIV Infection,A
Fuzeon,10.0,HIV Infection,A
Lamivudine / zidovudine,10.0,HIV Infection,A
Odefsey,10.0,HIV Infection,A
Prezcobix,10.0,HIV Infection,A
Prezista,10.0,HIV Infection,A
Reyataz,10.0,HIV Infection,A
Stribild,9.75,HIV Infection,A
Cobicistat / elvitegravir / emtricitabine / tenofovir,9.742857142857142,HIV Infection,A
Dolutegravir,9.625,HIV Infection,A
Isentress,9.555555555555555,HIV Infection,A
Raltegravir,9.555555555555555,HIV Infection,A
Tivicay,9.5,HIV Infection,A
Abacavir / dolutegravir / lamivudine,9.456140350877194,HIV Infection,A
Triumeq,9.456140350877194,HIV Infection,A
Atripla,9.380952380952381,HIV Infection,A
Efavirenz / emtricitabine / tenofovir,9.375,HIV Infection,A
Darunavir,9.333333333333334,HIV Infection,A
Genvoya,9.268292682926829,HIV Infection,A
Cobicistat / elvitegravir / emtricitabine / tenofovir alafenamide,9.214285714285714,HIV Infection,A
Complera,9.19047619047619,HIV Infection,A
Emtricitabine / rilpivirine / tenofovir,9.19047619047619,HIV Infection,A
Abacavir / lamivudine / zidovudine,9.0,HIV Infection,B
Kaletra,9.0,HIV Infection,B
Trizivir,9.0,HIV Infection,B
Lopinavir / ritonavir,8.666666666666666,HIV Infection,B
Nevirapine,8.5,HIV Infection,B
Etravirine,8.0,HIV Infection,C
Intelence,8.0,HIV Infection,C
Maraviroc,8.0,HIV Infection,C
Selzentry,8.0,HIV Infection,C
Sustiva,8.0,HIV Infection,C
Viramune,8.0,HIV Infection,C
Cladribine,10.0,Hairy Cell Leukemia,A
Leustatin,10.0,Hairy Cell Leukemia,A
WP Thyroid,10.0,Hashimotos disease,A
Armour Thyroid,9.5,Hashimotos disease,A
Unithroid,9.5,Hashimotos disease,A
Tirosint,9.473684210526315,Hashimotos disease,A
Levo-T,8.0,Hashimotos disease,C
Malathion,10.0,Head Lice,A
Ovide,10.0,Head Lice,A
Sklice,9.863636363636363,Head Lice,A
Natroba,9.75,Head Lice,A
Spinosad,9.75,Head Lice,A
Benzyl alcohol,8.0,Head Lice,C
Ulesfia,8.0,Head Lice,C
Acetaminophen / phenylephrine,10.0,Headache,A
Ascomp with Codeine,10.0,Headache,A
BC Fast Pain Relief,10.0,Headache,A
Excedrin Sinus Headache,10.0,Headache,A
Phrenilin,10.0,Headache,A
Esgic-Plus,9.909090909090908,Headache,A
Esgic,9.666666666666666,Headache,A
Aspirin / butalbital / caffeine / codeine,9.652173913043478,Headache,A
Acetaminophen / butalbital / caffeine,9.62251655629139,Headache,A
Fioricet,9.571428571428571,Headache,A
Excedrin Tension Headache,9.5,Headache,A
Fioricet with Codeine,9.466666666666667,Headache,A
Acetaminophen / butalbital / caffeine / codeine,9.428571428571429,Headache,A
Acetaminophen / caffeine,9.4,Headache,A
Dolgic Plus,9.4,Headache,A
Acetaminophen / butalbital,9.384615384615385,Headache,A
Fiorinal with Codeine,9.363636363636363,Headache,A
Bupap,9.333333333333334,Headache,A
Acetaminophen / dichloralphenazone / isometheptene mucate,9.326923076923077,Headache,A
Butalbital Compound,9.272727272727273,Headache,A
Advil Migraine,9.0,Headache,B
Epidrin,9.0,Headache,B
Excedrin Quick Tab,9.0,Headache,B
Acetaminophen / caffeine / isometheptene mucate,8.714285714285714,Headache,B
Prodrin,8.4,Headache,B
Streptokinase,10.0,Heart Attack,A
Nitrolingual Pumpspray,9.0,Heart Attack,B
Corlanor,10.0,Heart Failure,A
Ivabradine,10.0,Heart Failure,A
Coreg,9.25925925925926,Heart Failure,A
Carvedilol,9.153846153846153,Heart Failure,A
BiDil,9.0,Heart Failure,B
Entresto,9.0,Heart Failure,B
Hydralazine / isosorbide dinitrate,9.0,Heart Failure,B
Sacubitril / valsartan,9.0,Heart Failure,B
Amoxicillin / clarithromycin / lansoprazole,8.853658536585366,Helicobacter Pylori Infection,B
Prevpac,8.848484848484848,Helicobacter Pylori Infection,B
Bismuth subcitrate potassium / metronidazole / tetracycline,8.477272727272727,Helicobacter Pylori Infection,B
Pylera,8.404761904761905,Helicobacter Pylori Infection,B
Advate,9.0,Hemophilia A,B
Antihemophilic factor,8.5,Hemophilia A,B
Nuwiq,8.0,Hemophilia A,C
Alphanine SD,9.0,Hemophilia B,B
Coagulation factor ix,9.0,Hemophilia B,B
RectiCare,10.0,Hemorrhoids,A
Tronolane Anesthetic for Hemorrhoids,10.0,Hemorrhoids,A
Proctofoam,9.782608695652174,Hemorrhoids,A
Analpram-HC,9.75,Hemorrhoids,A
Pramoxine,9.633333333333333,Hemorrhoids,A
Dibucaine,9.5,Hemorrhoids,A
Nupercainal,9.5,Hemorrhoids,A
Proctofoam HC,9.5,Hemorrhoids,A
Proctosol-HC,9.5,Hemorrhoids,A
Hydrocortisone / pramoxine,9.375,Hemorrhoids,A
Hydrocortisone,9.3125,Hemorrhoids,A
Hydrocortisone / lidocaine,9.0,Hemorrhoids,B
LMX 5,9.0,Hemorrhoids,B
Phenylephrine / pramoxine,9.0,Hemorrhoids,B
Pramosone,8.25,Hemorrhoids,B
Pramoxine / zinc oxide,10.0,Hemorrhoids (pramoxine / zinc oxide),A
Generlac,10.0,Hepatic Encephalopathy,A
Enulose,9.0,Hepatic Encephalopathy,B
Epivir-HBV,10.0,Hepatitis B,A
Tenofovir,9.142857142857142,Hepatitis B,A
Lamivudine,9.0,Hepatitis B,B
Viread,9.0,Hepatitis B,B
Boceprevir,10.0,Hepatitis C,A
Glecaprevir / pibrentasvir,10.0,Hepatitis C,A
Mavyret,10.0,Hepatitis C,A
Rebetol,10.0,Hepatitis C,A
Ribasphere,10.0,Hepatitis C,A
Victrelis,10.0,Hepatitis C,A
Dasabuvir / ombitasvir / paritaprevir / ritonavir,9.8,Hepatitis C,A
Viekira Pak,9.8,Hepatitis C,A
Daclatasvir,9.777777777777779,Hepatitis C,A
Daklinza,9.777777777777779,Hepatitis C,A
Olysio,9.666666666666666,Hepatitis C,A
Simeprevir,9.666666666666666,Hepatitis C,A
Sovaldi,9.62962962962963,Hepatitis C,A
Harvoni,9.606986899563319,Hepatitis C,A
Ledipasvir / sofosbuvir,9.59051724137931,Hepatitis C,A
Sofosbuvir,9.566666666666666,Hepatitis C,A
Elbasvir / grazoprevir,9.541666666666666,Hepatitis C,A
Zepatier,9.541666666666666,Hepatitis C,A
Incivek,9.4,Hepatitis C,A
Peginterferon alfa-2a,9.333333333333334,Hepatitis C,A
Telaprevir,9.142857142857142,Hepatitis C,A
Epclusa,9.043478260869565,Hepatitis C,A
Sofosbuvir / velpatasvir,9.020408163265307,Hepatitis C,A
Pegasys,9.0,Hepatitis C,B
Ribavirin,9.0,Hepatitis C,B
Copegus,8.0,Hepatitis C,C
Moderiba,8.0,Hepatitis C,C
Nexavar,8.5,Hepatocellular Carcinoma,B
Sorafenib,8.428571428571429,Hepatocellular Carcinoma,B
Bee pollen,10.0,Herbal Supplementation,A
Fenugreek,10.0,Herbal Supplementation,A
Guarana,10.0,Herbal Supplementation,A
Slippery elm,10.0,Herbal Supplementation,A
Turmeric,9.6,Herbal Supplementation,A
Lecithin,9.5,Herbal Supplementation,A
Kava,9.0,Herbal Supplementation,B
Scullcap,9.0,Herbal Supplementation,B
S-adenosylmethionine,8.666666666666666,Herbal Supplementation,B
Ginseng,8.0,Herbal Supplementation,C
Creatine,7.0,Herbal Supplementation,C
Berinert,10.0,Hereditary Angioedema,A
C1 esterase inhibitor (human),10.0,Hereditary Angioedema,A
Cinryze,10.0,Hereditary Angioedema,A
Conestat alfa,10.0,Hereditary Angioedema,A
Ecallantide,10.0,Hereditary Angioedema,A
Firazyr,10.0,Hereditary Angioedema,A
Icatibant,10.0,Hereditary Angioedema,A
Kalbitor,10.0,Hereditary Angioedema,A
Ruconest,10.0,Hereditary Angioedema,A
Abreva,9.302752293577981,Herpes Simplex,A
Docosanol,9.296610169491526,Herpes Simplex,A
Acyclovir,9.18918918918919,Herpes Simplex,A
Zovirax Ointment,9.166666666666666,Herpes Simplex,A
Allantoin / camphor / phenol,9.0,Herpes Simplex,B
Blistex,9.0,Herpes Simplex,B
Ganciclovir,10.0,Herpes Simplex Dendritic Keratitis,A
Zirgan,10.0,Herpes Simplex Dendritic Keratitis,A
Lysine,9.714285714285714,Herpes Simplex Suppression,A
Valtrex,9.662983425414364,Herpes Simplex Suppression,A
Valacyclovir,9.643410852713178,Herpes Simplex Suppression,A
Zovirax,9.454545454545455,Herpes Simplex Suppression,A
Zostavax,10.0,Herpes Zoster Prophylaxis,A
Zoster vaccine live,9.5,Herpes Zoster Prophylaxis,A
Thorazine,9.476190476190476,Hiccups,A
Chlorpromazine,9.379310344827585,Hiccups,A
Bendroflumethiazide / nadolol,10.0,High Blood Pressure,A
Chlorthalidone,10.0,High Blood Pressure,A
Corzide 80 / 5,10.0,High Blood Pressure,A
Indapamide,10.0,High Blood Pressure,A
Inspra,10.0,High Blood Pressure,A
Lotensin,10.0,High Blood Pressure,A
Microzide,10.0,High Blood Pressure,A
Nifedical XL,10.0,High Blood Pressure,A
Tenex,10.0,High Blood Pressure,A
Edarbi,9.75,High Blood Pressure,A
Exforge HCT,9.75,High Blood Pressure,A
Atenolol / chlorthalidone,9.666666666666666,High Blood Pressure,A
Reserpine,9.666666666666666,High Blood Pressure,A
Valturna,9.666666666666666,High Blood Pressure,A
Avalide,9.6,High Blood Pressure,A
Azilsartan medoxomil,9.6,High Blood Pressure,A
Aldactone,9.545454545454545,High Blood Pressure,A
Acebutolol,9.5,High Blood Pressure,A
Aldactazide,9.5,High Blood Pressure,A
Amlodipine / atorvastatin,9.5,High Blood Pressure,A
Caduet,9.5,High Blood Pressure,A
Fosinopril,9.5,High Blood Pressure,A
Methyldopa,9.5,High Blood Pressure,A
Plendil,9.5,High Blood Pressure,A
Sectral,9.5,High Blood Pressure,A
Verelan PM,9.5,High Blood Pressure,A
Amlodipine / olmesartan,9.431818181818182,High Blood Pressure,A
Azor,9.431818181818182,High Blood Pressure,A
Altace,9.428571428571429,High Blood Pressure,A
Amlodipine / telmisartan,9.4,High Blood Pressure,A
Hydrochlorothiazide / telmisartan,9.4,High Blood Pressure,A
Twynsta,9.4,High Blood Pressure,A
Aliskiren / hydrochlorothiazide,9.333333333333334,High Blood Pressure,A
Captopril,9.333333333333334,High Blood Pressure,A
Dyazide,9.333333333333334,High Blood Pressure,A
Hydrochlorothiazide / irbesartan,9.333333333333334,High Blood Pressure,A
Hydrochlorothiazide / olmesartan,9.333333333333334,High Blood Pressure,A
Tekturna HCT,9.333333333333334,High Blood Pressure,A
Zestoretic,9.333333333333334,High Blood Pressure,A
Benicar HCT,9.285714285714286,High Blood Pressure,A
Felodipine,9.25,High Blood Pressure,A
Maxzide,9.25,High Blood Pressure,A
Micardis HCT,9.25,High Blood Pressure,A
Trandolapril / verapamil,9.25,High Blood Pressure,A
Hydrochlorothiazide / losartan,9.2,High Blood Pressure,A
Hyzaar,9.2,High Blood Pressure,A
Spironolactone,9.153191489361703,High Blood Pressure,A
